author,text,likes,video_id
@4squadsandidiots,but the link said its a tutorial,0,dQw4w9WgXcQ
@kwetxy,but the link said free robux,1,dQw4w9WgXcQ
@Animations_T13,Я с тобой сделаю сылку и отправлю другу хорошо?,0,dQw4w9WgXcQ
@IskalTun-m4c,Authorized QA check: static profile run verified.,0,dQw4w9WgXcQ
@IskalTun-m4c,Authorized QA check: interaction flow verified.,0,dQw4w9WgXcQ
@WEWILLTAKEREVENGEEDMILSONGAMER,YOUTUBE WHY'D YOU RICK ROLL ME ON YOUR MUSIC APP!?,0,dQw4w9WgXcQ
@Mafioso-forsaken1234,T cx anti,0,dQw4w9WgXcQ
@LautanCahayadarmanto-d8l,Big love from europe❤,2,dQw4w9WgXcQ
@NotMe005-w1h,I got Rick rolled from qr code,0,dQw4w9WgXcQ
@Xenov1nity,I got Rickrolled by Google Gemini.,35,dQw4w9WgXcQ
@Benjamin-Rk4rz,A great man sung a great song in 16 years,1,dQw4w9WgXcQ
@IdkMyNameLoll43,GD COLON WHYYYYY,0,dQw4w9WgXcQ
@retarder-x1o,But link said free robux,1,dQw4w9WgXcQ
@Playmelonnonosouli,Спасибо эдисон,0,dQw4w9WgXcQ
@koreanNoobs,"""Rick Astley will come back in avengers doomsday""",0,dQw4w9WgXcQ
@bobbyshrock,I just got Rick rolled,0,dQw4w9WgXcQ
@banz6249,I  rickrolled every one a day 😂😂😂😂😂😂😂😂😂,0,dQw4w9WgXcQ
@mayhem614official,"It's been a while, hasn't it?",0,dQw4w9WgXcQ
@CharlieLagaray,https://youtu.be/dQw4w9WgXcQ?si=mZDj7mtmg-zLwqXC,0,dQw4w9WgXcQ
@CharlieLagaray,https://youtu.be/dQw4w9WgXcQ?si=mZDj7mtmg-zLwqXC,0,dQw4w9WgXcQ
@zamxcddy,"nào kêu VN căng nhất thì nên tìm hiểu Trung và kì thi nó kinh khủng cỡ nào, nhất là cái cao khảo của nó",0,dQw4w9WgXcQ
@preeti-anythingandeverythi6530,i love this song,0,dQw4w9WgXcQ
@GamingwithEmma-mb3tg,Classic,0,dQw4w9WgXcQ
@lâmHải-y4e,is a meme,0,dQw4w9WgXcQ
@ShaneJensen-g2i,Ahhhh the old rickroll I see,8,dQw4w9WgXcQ
@TheBalognaPony,Mitch McConnell news sent me here....,0,dQw4w9WgXcQ
@жора_крутой,,0,dQw4w9WgXcQ
@kennedytaylor2301,"i love that when he made this he had no idea how huge it would be, it's kinda sweet to see young talent at that time and have it blow up the way it did",1,dQw4w9WgXcQ
@PointPeculiar,I’m glad Rick is still healthy and is in good shape until now.❤🥹,1,dQw4w9WgXcQ
@Franzjosephordenfjso,...entities,0,dQw4w9WgXcQ
